state,x,y
Andhra Pradesh, -77.0, -147.0
Arunachal Pradesh, 253.0, 156.0
Assam, 225.0, 112.0
Bihar, 59.0, 80.0
Chhattisgarh, -26.0, -32.0
Goa, -205.0, -172.0
Gujarat, -273.0, -0.0
Haryana, -150.0, 172.0
Himachal Pradesh, -130.0, 240.0
Jharkhand, 46.0, 28.0
Karnataka, -180.0, -196.0
Kerala, -154.0, -299.0
Madhya Pradesh, -143.0, 14.0
Maharashtra, -196.0, -80.0
Manipur, 259.0, 72.0
Meghalaya, 179.0, 88.0
Mizoram, 239.0, 38.0
Nagaland, 269.0, 112.0
Odisha, 35.0, -46.0
Punjab, -185.0, 208.0
Rajasthan, -244.0, 104.0
Sikkim, 128.0, 134.0
Tamil Nadu, -116.0, -290.0
Telangana, -89.0, -111.0
Tripura, 205.0, 41.0
Uttar Pradesh, -55.0, 119.0
Uttarakhand, -81.0, 195.0
West Bengal, 116.0, 22.0
